Stock,Symbol,Shares Held
Alexandria real estate equities  inc.,ARE,196000.0
Genmab a/s,GMAB,1088500.0
Koninklijke philips electronics nv adr,PHG,1283821.0
Ironwood pharmaceuticals inc,IRWD,3123053.0
Federal realty investment trust,FRT,321000.0
Ppl corp. (pennsylvania power & light),PPL,1371100.0
Saia inc,SAIA,160598.0
Frontdoor inc,FTDR,1311518.0
Sealed air corp.,SEE,583221.0
Equity commonwealth inc.,EQC,1378886.0
National healthcare corp,NHC,551087.0
Endo international plc,ENDP,16631661.0
Fiverr international ltd,FVRR,503000.0
Republic services inc.,RSG,288613.0
California resources corp.,CRC,853136.0
Spotify technology sa,SPOT,251400.0
Biomarin pharmaceutical inc,BMRN,491171.0
Getty realty corp.,GTY,1320581.0
Wayfair inc class a,W,339100.0
Costamare inc,CMRE,2187082.0
Idex corp.,IEX,194225.0
Liquidity services inc,LQDT,2174364.0
Oge energy corp. (oklahoma gas & electric),OGE,911943.0
Ritchie brothers auctioneers  inc.,RBA,620308.0
Xcel energy inc. (northern states power co. (mn)),XEL,504450.0
Allegion plc,ALLE,331500.0
Watsco inc.,WSO,119200.0
Vanda pharmaceuticals inc,VNDA,3208614.0
Masco corp.,MAS,710700.0
Embraer s.a. adr,ERJ,2869400.0
World wrestling entertainment inc,WWE,578900.0
Hasbro inc.,HAS,441100.0
Transocean ltd,RIG,7872028.0
Rex american resources corp.,REX,360705.0
Pembina pipeline corp,PBA,949212.0
Siteone landscape supply inc,SITE,220700.0
Intercontinental exchange inc,ICE,269633.0
Stoneco ltd,STNE,3034500.0
Balchem corp.,BCPC,259700.0
Clearway energy inc,CWEN,970622.0
Store capital corp,STOR,1211700.0
U.s. bancorp (first national bank of cincinnati),USB,666200.0
Winmark corp,WINA,160231.0
Fortune brands home & security inc,FBHS,472700.0
Emerson electric co.,EMR,357600.0
Nexpoint residential trust inc,NXRT,388213.0
Itt inc. (international telephone and telegraph),ITT,466100.0
Silicon laboratories inc,SLAB,232998.0
Travere therapeutics inc,TVTX,1357322.0
Stanley black & decker inc.,SWK,250162.0
Univar solutions inc,UNVR,1087802.0
Honda motor co ltd. adr (honda giken kogyo kabushiki kaisha) adr,HMC,1236698.0
Mandiant inc,MNDT,1564400.0
Bjs wholesale club holdings inc,BJ,516200.0
Ennis inc.,EBF,1889253.0
Spartannash co,SPTN,1055912.0
Banco de chile adr,BCH,1625054.0
Sun life financial inc,SLF,621600.0
American software inc. class a,AMSWA,1661203.0
Buckle inc,BKE,1047168.0
Carlyle group inc,CG,706400.0
Avalara inc,AVLR,346600.0
Quidel corp.,QDEL,305187.0
Brown-forman corp. class b,BF.B,510838.0
Technipfmc plc ordinary share (fmc technologies),FTI,4406900.0
Hecla mining co. (par $0.25),HL,5176465.0
Cenovus energy inc,CVE,2031494.0
Seaworld entertainment  inc.,SEAS,454600.0
Trimble navigation ltd.,TRMB,468144.0
